rating,review
50,"My friend and I stayed with Gilda for three nights in Dec. 2014. She is charming, accommodating and very knowledgeable. Her home is very secure and located relatively close to the airport (where she picked us up and dropped us off). We hired her as a guide for 2 days and she took us everywhere we wanted to go, making helpful suggestions as well. Terrific breakfasts and if you are learning Spanish she is a patient teacher. This  is a wonderful, hassle-free way to see some of Guatemala City, a place with lovely museums but a bad reputation for safety."
40,From airport to Casa de Familia for a short stay  made my first visit to Guatemala a perfect start. I was warmly welcomed and got a very good room facing the quiet garden in a safe surrounding. the hostess speaks both English and Spanish.
50,"I stayed here with my partner, our baby, and a friend and her child in a two bedroom two bath apartment room for a week in April. I found it on Airbnb but you can book through hotel booking sites as well. We loved it! The amount of space you get for the money is amazing and a great choice for a longer stay. The common areas are beautiful! The breakfast is not as big as the bigger hotels but plenty and good. The customer service is wonderful. Everyone was so helpful the entire time. It does seem like some rooms are more updated than others so you may want to ask about that when booking. Location is perfect. We would definitely return."
50,"I visited this hotel and was very pleased with my visit. From the time I walked in every single worker was very nice, polite, helpful and friendly. Breakfast was included and yummy! Had a choice of Guatemalan or American options, cooks very very nice. Hotel has a home feel, beautiful gardens and very well kept/clean pool. Beds were so comfortable, not all rooms have AC but there is a big fan for the room with no AC. My only complaint would have to be internet connection, it wasn’t the greatest but not a huge deal. "
50,"This hotel has been for us as a family like a home when we come to stay in Guatemala every two years or so. The service is amazing, always ready to help with anything and with a smile. The rooms (specially the apartments) are modern and clean. Breakfast is included in the price and delicious! They offer the shuttle service to the airport. The area is full of restaurants and bars which makes it a bit noisy over the weekends but there are double glazed windows and you can hardly hear anything. I really recommend this hotel."
50,"Best hotel/apartment for families traveling with anyone, but especially  young children. Mine are 11, 7 and 5 and they all found something they loved about it. The hotel had a great pool, hot tub, a game room with pool table and ping pong, and a fuseball (sp?) table. There was a mix-up with my reservation at first, but they bent over backwards to work it out so I could be comfortable and managed to stay the whole time. Great and safe location. My kids and I walked around during the day and night to eat and it was great. It's within two walks to Oakland Mall (amazing!) and hotel staff is available for anything you need them for. We were able to do our laundry for $5 dollars a load. Expensive but convenient and super easy. Hotel is always being cleaned and there is always security"
50,"This is my second time at this hotel, and I definitely will come back. This place is fabulous and has everything you need and more. We stayed in a fabulous suite with two large bedrooms and couldn't be happier. The bathrooms are huge too, and very clean. As I was traveling with a baby and a toddler, I can say we all enjoyed the big space so much, instead of being in a typical four-wall hotel room. The kitchen and living room are very comfortable and allowed to prepare some meals for the little ones. It has a great playground with swings and slides and a pool. Breakfast is really good, the staff is very friendly and helpful. Great location, close to good restaurants and bars. Perfect for families. I recommend it 100%"
30,"The hotel was used by a mission team that I lead.  It was convenient to our work.  Provided adequate low cost meals.  Seemed very safe due to armed guard.  The rooms are very basic with a bed and a shower and pitchers of water.  There may have been a television, but no time to watch.  There is no elevator if that is a necessity."
50,"In a course of a two weeks Guatemala roundtrip I had the chance to stay in the Hotel Royal Palace for four nights in total. The hotel is not only perfectly located in the centre of cultural activities with the lively 6th Avenue, two Basilicas as well as the Palace, cathedral and central plaza within 7 minutes of walking, the hotel itself was worth the stay. The rooms are clean and spacious, the breakfast was plenty and delicious and at some days there was live music and Marimba in the lobby nad people start to dance during breakfast and lunch, At the bar I could participate at a karaoke night and got to know some interesting Latin music. To conclude, it was a delightful stay at the Hotel and I can't wait to check in again, whenever I am in Guatemala City."
50,"The rooms were clean, beds comfortable, and breakfast excellent. We had a room with a balcony overlooking the street and slept comfortably with the windows open. The rooms are not air conditioned, but it isn't really necessary. Bathrooms clean and well-stocked.Some Spanish is necessary for communicating with the front desk, and airport shuttle does not run on Sundays."
40,"This is a comfortable, spotlessly clean hotel with very good service. The bed was great and the shower excellent.The breakfast menu was varied and delicious and we were able to ask for just fruit and toast. Our one issue was the recommendation that we do not go out on our own because of security concerns. "
40,"We flew in and spent the night. The driver was right in front to pick us up at the airport, spoke good English and was very friendly. We were starving dinner was good reasonable prices, breakfast included with room rate (as was airport shuttle) Our room was nice and clean. We wanted to see the historic district and the ""Central Mercado""."
40,"We had a quick turn around so we were only at this hotel for about 7 hours to sleep. We arrived at night so I don't really know much about the surrounding area but the hotel was NICE!! We had been traveling around to little village towns and this was the best hotel on our trip. The beds were super comfortable and the wifi was fast unlike all the other hotels we had been in. Room service food was good but it took a while because they were closing when we arrived and then everyone in our large group of 35 ordered food. My room had a great layout however I heard in other rooms it was weird like the bathroom door couldn't open all the way due to a bed being in the way. Lobby looked nice and staff was nice! My only complaint was that I couldn't get hot or warm water in the shower, it"
30,My wife and I stayed here just after New Years in 1976 while backpacking and still occasionally yell llave which means key. At that time you had to ask for your room to be unlocked. They wanted to keep things safe from theft by controlling who had keys. It was a wonderful experience.
20,"This hotel is quite expensive but the stay wasn't worht it. The rooms, beds, showers and so were perfectly good and luxurous, but the rest was very dissapointing. The breakfeast that is included consits of only one meal to make you full. The food was bad and not enough to make you full. E.g. your breakfeast could be to dry pancakes and a little bit of tasteless scramble eggs served with a juice that tasted disgusting. The staff was not really interested in their guests at all. We had a feeling that we were just another number for them. The gardens were pretty but you couldn't really enjoy because there were no table to sit at. Furthermore the jaquizi didn't function."
50,I stay at this hostel every time I fly into or out of Guatemala city. It is conveniently located within walking distance from the airport. The owners are friendly and very accommodating. Free breakfast was served with our overnight stay. They offer free wifi and pure drinking water for filling water bottles. Rooms are clean and can accommodate 1 or 6 with shared bathroom facilities. Great for small groups.   
40,"I was picked up at the airport after great communication via email regarding my arrival. I found this service very helpful. The hostel is very close to the airport. Breakfast is included. The room was sparse, but clean and the bed was very comfortable. The entire place felt very comfortable to me. They took me to the airport both mornings I stayed with them, once to find a shuttle to the lake and again to catch my returning flight. We took an Uber to a nearby mall and walked about a half mile from there to a restaurant.The staff was kind and helpful. I will stay here again for future trips."
50,Every time my parents and I go to Guatemala this is the place to stay.I come back here since 1985. we visit different places of the country and never feel more secure than when I stay in Pension Meza. its not one of this fancy hotels but is welcoming. The owners are super nice and the people friendly. I have meet lots of people there and have great memories and I will create more. last time there the owners start remodeling the place now every room has a private bathroom. The room where the famous Che' stay will stay the same. that is a legend.That room is part of the charm of this place.the hotel is very well located. and the ownwer pick you up at the airport if you need.
40,"If you plan on staying in Guatemala City and want to experience a pension with a real grassroots flavor situated in the heart of Downtown, the inimitable Pension Meza is the perfect place for you.  From the outside its instantly forgettable, though once you enter, you enter an environment that is part modern art gallery, part grassroots unchic and part steeped in Central American/Caribbean political history.  There are less than 20 rooms, some with private baths, most with shared baths surrounding the open air courtyard. The rooms are extremely basic, finished in dilapidated beds and worn out tables and chairs. But each room, virtually every square inch is covered with detailed drawings and paintings done by artistically inclined residents that have accumulated over the years."
30,"This place is perfectly located to explore zone 1. If you arrive on Linea Dorada, it's in walking distance from the bus station. It's not the cleanest or nicest place I've ever stayed, but it serves the purpose of being DT Guatemala City. Very centrally located. Dorms have lockers and there's a hot shower. Super chill place."
50,stayed there a month. The people there were so helpful and nice. I will be moving to Guatemala soon and will visit my escape  often.. Walking distance to the pres palace and lots of churches around. If you do get stuck in Guatemala city this is a very safe place. Happy traveling. Now a private room was 50q's or share a 3 person room was 30 q's.
30,"I liked many things about the Plaza. Customer service is great and the restaurant was good too--we liked the included breakfast and we ate dinner there as well, which was also good. The room was huge and the place is kept very well maintained. And it was all for a very good price.  If a pool is your thing, the Plaza is the place to go. There is a gem of a swimming pool, with tables, chairs, and a small bar to hang out at; and two slides.   The area was the only thing that was a bit on the edge. We had a view of a permanent camp out on a street corner of a group of homeless folks, and we were hassled while waiting for a ride right outside of the hotel. Once inside the hotel, however, it's extremely safe, with a locked gate monitored around the clock by security."
40,Great stay with a large group or family. The room we were in had 6 beds. Other rooms had 3 and 4 beds. Breakfast is included. Beds were comfortable. The staff is very friendly.   My friends and I enjoyed watching Nacho Liebre on the TV in Spanish.   :)
50,"Our stay here couldn't have been better! We were picked up from the airport on arrival at no cost, and the owner dropped us off to the airport the next day at 4:30 am also at no cost! The hosts were so lovely. As we were missing the included breakfast due to the early start, they offered to cook it up for our dinner - eggs, beans, cheese, plantain and bread/corn crackers +coffee/tea. Delish!  The private room with ensuit was everything we needed, clean and comfortable. Good hot water for the shower, good Wi-Fi, quiet, could hardly hear the planes. It literally is 1 min away from the airport! We also saw the dorms which looked great too. We would definitely stay again. "
30,"This was the most expensive stay while traveling for one month in Central America! For 60+ USD the double room was pretty basic. We had to pay for a breakfast we didn't even want, because we were flying out at 6am the next morning. The shuttle service to the airport was also sth in the range of 20 USD. For a 5 minute car ride. The only time on our journey when we felt being ripped off."
50,"Angie is a wonderful, knowledgeable hostess that runs a very simple, clean and adequate guest house on the edge of Zona 10. You are several blocks from all the popular restaurants but it's easy to ride around thanks to Uber. We had the front room which we found perfectly fine. There was some street noise but not enough to disturb our sleep. There are kitchen facilities available to guests who prefer to eat in. We will definitely go back and recommend Angie's to anyone on a budget."
50,"I stayed here last night, had a long day of travelling and was pretty knackered when I got in. The taxi was there to meet me as arranged and my room was quiet and really clean. Paulinho behind the desk got me a charger cos I had the wrong adaptor and was just really friendly. The breakfast is wicked and all the staff are so nice. I don't think you can look too much further than this place for a safe, clean first night in Guatemala. Thanks Villa Toscana, top people! "
50,"Villa Toscana exceeded our expectations! It is located in a guarded and gated area, so safety is paramount to them. It is just around the corner from the airport. Food delivered to the hotel was good and there was a great variety. Prices were in line with regular restaurant meals.The room was very comfortable - we had a terrace with views of the volcanoes and a king sized bed. We ate the complimentary breakfast in a very attractive garden. There were numerous hot and cold choices. The staff were excellent. We'll go back again!"
40,"You get what you are looking for: right outside of the airport, the hotel provides shuttle to and from the international terminal and they only charge for it if you need to leave before 5 am. The staff is super friendly and helpful. The room was comfortable enough for one night and very clean. "
50,"The hotel is very close to the airport, but walking is not something I would recommend. Take a short cab ride and you'll be there in moments, depending on the time of day because downtown Guatemala City traffic can be horrendous.  I stayed in a clean room on the 2nd floor. It was very secure and clean. The bathroom was small but I was alone so it was fine.   The staff were all super nice and accommodating. I don't speak Spanish but they all spoke very good English to help me understand. The manager Azucena was very helpful, but Sergio, Nelson & Paulino were as well. I had to make a last minute change to the dates I was staying there and normally that means a fee wouod be charged, but they heloed me without charging me a cancellation/change fee. That was so much appreciated! I"
40,"I stayed here last week and was super impressed.  The hotel arranged for a driver to pick me up at the airport with a sign, which was comforting to see since I had traveled all day from the US all alone.  The hotel is literally a one minute drive from GUA airport.  The next morning they served us our breakfast of choice-- I got oatmeal with bananas and brown sugar.  My friend got an egg plate with included amazing refried black beans.  I spoke with another guest and they said it was BY FAR the nicest hotel they had stayed at in all of Guatemala.  I paid apx $86 for a king bed."
50,"Let's say you are going to Guatemala City, and you need a nice room. There are some pricey hotels in Zona 10, but you don't need pricey. What you need is a comfortable bed and some coffee, maybe a beer.  Check out Suites Reforma.  That staff are the best--tour advice and arrangements, personal service, and friendly.  I have stayed at the Suites Reforma many times."
30,"I spent a couple of weeks at this place with my wife. It has all of the necessities and a cool, funny vibe with furniture and accessories left over from the 60s and 70s. The apartments are clean but the WiFi access is absolutely terrible! I had more or less consistent service at the desk but weak or no access from the bedroom or kitchen. The restaurant is similarly lackluster. Also, be prepared for the hustle and bustle of La Reforma - never a quite moment. You can do much better in Zone 10 for about the same price."
20,"What a dump.First let me say that all the staff are friendly.Internet is the worst,when you complain,their excuse is,one day is the rain,next is the wind,earthquakes,act of God or what have you.The kitchen would never pass minimum standards for safety,or higiene anywhere on the Planet.Noisy place,mainly from lack of respect from traffic and thugs revving their bikes and cars at 2am.Will never stay at this low low low grade 4 star,can you imagine,4 star joint.Check in at your own risk"
50,"good location, safe area of the city has restaurants nearby and pubs The hotel staff became my tour guide, really they know the city very well and the rest of the country.  breakfast is good  The hotel is clean"
50,"This hotel is home away from home. I have stayed there on many occasions and recommend it to everyone. Exceptional staff. In a very safe area , favorable for taking walks while breathing the crisp Guatemalan air"
10,"Where to start? Just after the free cancellation period had ended, they raised the price without any explanation whatsoever. When asked they basically said ""Booking did it, pay or leave."" Our ""room"" was a windowless closet full of cob webs off the smoking and trash area and smelled the part. The bathroom was right next to our room and with the walls and doors being thin as they are, I literally woke up to the sound of somebody doing his big business at 5:15 am. Bathroom was tiny (I couldn't turn around without having to open the door) and filthy with nowhere to hang stuff. I guess they expect you to park your clean underwear on the toilet that's covered in hair?  Cigarette butts all over the floor in the yard, cockroaches as well. You don't get a key for the front door, so you"
30,"The staff is very friendly. The bed was clean but not really comfy. We felt relatively safe. They have lockers, hot showers and plenty of bathrooms.    My one issues is they don’t enforce rules. There were people smoking even though the signs say no smoking.  There was partying until am and people talking loudly at 3am in our room.  Price is good but don’t expect much sleep"
50,"We were very well received by the staff and everyone in the Hostal was very nice!  The place is very nicely kept, very clean and the breakfast is wonderful!  I recommend this place because is a  very good deal for the money and very close to center, walking distance 5min!  Gracias Hostal Rocio 👍"
50,"Very good central location, good breakfast, personalized attention. I will be back! Very good!!! I was pleased with the attention, a few blocks from the national palace and central park more sotre and restaunts."
30,So many bathrooms and most are set up in an unworkable manner. The toilet is so close to the door that knees touch the door. There is literally no room to turn around and grab the TP on the back of the toilet tank. There is NO sink in that bano to wash hands after using the toilet. There is barely room to climb over the toilet and into the shower. In another bathroom the light for the room is INSIDE the shower stall which is located at the far end of the room. Getting in or out of the shower means you have to shimmy past the toilet with about 6 inches of navigating space. Showers need more frequent cleaning as there was hair and toenails visible. Pillows are hard-could they be filled with sawdust? Kitchen available for your use. Tipico restaurant around undo the corner. Grocery
50,"I enjoyed my stay at this hotel. It's located in one of the best areas in Guatemala City. The hotel is like B&B style, and the staff were nice. There are gates that are always locked, and they just open them to let someone in or out. Wi Fi was fast"
50,Glad I found this small hotel in a quiet neighborhood. The staff was very accomodating and the room very clean. Bed was comfortable and remote-controlled air conditioning was handy at times. They serve a very nice breakfast - just let them know you'll be staying for breakfast.
40,"from booking.com pic, it seems good, open balcony, blue sky, but actually where I get to here, a little disappointed, it's not a good location, look quiet and backland, anyway I enjoy in the room with my friends. love it."
50,"Arrived at 5am on Thursday morning, despite our booking being on Friday. He only charged us for one night as well. Very well run hostel. Would highly recommend given the competitive pricing and homely feel of the place. Good location too, in the middle of zone 1 within touching distance of nice restaurants and the central markets/cathedral etc "
50,"We stayed at this hostel for 2 nights. Our rooms are nice. The owner Ambrosio,sorry if not good write, He supernice, hospitable and helpfull, the sweetest person you'll ever meet :),we agree with Valeria A. We had very tasty breakfast. We had sun beach on top this hotel. We are celebrat unusually New Year. The Owner  gave a lot of information that was very useful for walking around the city. Thanks to him was very happy to stay at this hotel."
40,We only stayed here one night as we were on our way to Antigua and it was perfect for  a stopover. The room and bathroom were clean and the beds were comfy enough. The breakfast is pretty simple but it was fine. Roberto is super helpful and when we were leaving he drew us a map to explain where we could get the bus to Antigua from which was great.
50,"Roberto went above and beyond from the minute we arrived. One of our party left his phone in the taxi and Roberto spent this morning phoning around and eventually retrieved the phone. He then gave us great advice on the city and what to do. The rooms were basic but had everything, the beds were comfy, showers hot and powerful. The location was good and we felt safe the entire time. Recommended. "
10,"Habíamos reservado una habitación con baño y al llegar habían decidido dar nuestra habitación a otros. Nos remitieron a otro hotel más caro y con baño compartido. No es serio, al comunicárnoslo en la calle de noche recién llegados al país. Quedamos en desventaja al no poder buscar otra cosa. "
50,"I stayed 3 different nights within 12 days in Barcelo hotel Guatemala city. Great service, friendly staff, excellent amenities, excellent gift/souvenir shop. They have a gm and a pool. There a supermarket around the corner. The rooms are large and quiet my only (minor) gripe is the buffet breakfast could be better"
50,Everyone was helpful and the hotel was clean and roomy. The hotel has a good location. There are several restaurants in the hotel and the service is excellent. I would recommend the Barcelo to anyone needing one or two nights in Guatemala City.
50,"I always stay here when I come to Guatemala (5+ times) and I have always had a very pleasant experience. The hotel staff are helpful and friendly, and there are good options to eat and have a drink. The rooms are pleasant and are quite clean, no complaints here."
30,"I was here 2 years ago and loved it. This time: not enough towels, no wash cloths, one hand towel for four peeps. Our view was the street. Water in the shower turned from cold to scalding hot to cold to scalding. I was sure looking forward to that shower after being w/o hot water for two weeks. The water in the sink spurted out like it was under pressure.  The business office was kind and helpful printing out maps to a Chinese restaurant. The pool was outstanding and the kids loved it. Comfortable beds with down pillows. We ordered take-out from the hamburger restaurant downstairs. It was ok.   My flight was at 2 am. When I checked-in, I asked about where To catch the shuttle at that time of day. The person at the business office told me that the shuttle didn’t run from 11 PM to"
40,"We were satisfied with our booking here, although it was nothing to write home about.  We stayed in one of the executive level rooms with lounge access.  The service was excellent both at the front desk and the business center.  Abner stood out as very gracious and helpful.  Rooms were spacious and comfortable enough, albeit a little dated.  Everything felt a little bit old, in particular the bathroom.  Lots of restaurant options.  Outdoor pool area is quite nice.  We visited the executive lounge both in the morning and in the evening.  The lounge was also dated--looked like it hadn't been refreshed for about 15 years.  But there were newspapers (Spanish-language, as well as a two-page printout of news in English) and a decent selection of food and drink.  The morning selection"
50,"I was pleasantly surprised by this little gem by the airport.  I reserved online and quickly got a confirmation email. My flight got in late so I was a little unsure.  There was a man with my name on a sign waiting for me as I exited the airport.  He was very pleasant even though it was past 1 AM.  The ride from the airport was very quick, just a couple minutes.  He helped get me with 3 heavy bags into my room right away, told me to pay in the morning and left me to rest.  The room was clean and quite nice considering the great budget price.  Coffee in the morning was strong and plentiful with warmed milk on the side. A very nice continental breakfast with an big plate of fresh fruit followed.  I really liked Patricia's and will use them in the future anytime I need to stay in"
50,"They picked  me Up at the airport, my flight arrived around 10:30pm so it was good to have them take me straight to my hotel. Breakfast was delicious and healthy. They Exchange dollars to Quetzal too so that was great and convenient for me."
40,It's a small B & B- Hostel  near the airport which includes transfers to and from the airport as well as a great cup of coffee and breakfast. For the money you can't beat it! The WIFI is excellent there. Everyone there is so friendly and accommodating.
40,"We briefly graced a bed at this hotel, having arrived in GUA at 8pm and back to the airport at 5am the following morning so its hard to comment in much detail.  The airport pick up and drop off where extremely convenient, the room we had was spacious and clean with a shared bathroom (also fine)."
50,"In one email I was confirmed with a ride from the airport, 1 overnight, breakfast, and ride to the bus station the next morning all for $28 US or credit card with 8% payable when I got there. The room included filtered water, Internet, plugin for my iPhone, a fan, fresh towel, and a double bed.  Shared bath down the hall.  Chain lock on door. Alberto met me outside of customs late in the evening holding a sign with my name on it.  Our ride was a van.  Albert helped with luggage and was a safe driver.  He informed me about breakfast and what time to leave for ride to bus station early enough to buy a ticket to Rio Dulce. Breakfast was coffee, cut fruit with no skin, toast with butter and jam. Patricia was friendly and steered me towards Alberta who spoke English well. The"
50,"This place is fabulous. When we got to our room, our daughters asked if we had the right room. There was a full kitchen, dining room, living room, and 2 large bedrooms along with a great view.   Staff was very friendly & helpful setting up complimentary shuttle to the airport. Speaking of which the complimentary breakfast for the 4 of us was wonderful with many options including an omelette station.   Used the hot tub but not the kids area/pool since it was pretty cold outside. Also, did not order from the room service menu as it was limited and fairly expensive. Plenty of options close by to dine or to take out.  Location was walking distance to many restaurants and shops in Zone 10 along with the Gallo Christmas display (seasonal obviously). Never felt any danger walking"
40,"I really liked this hotel, location couldn't be better. The junior suite I stayed in had two separated rooms, a kitchen, living room and a very spacious bathroom. Everything was clean. I do have to say the suite needs more a/c, there's only one in the main bedroom. Breakfast was very good. I loved that it has a nice pool and a playground for kids. since I was on a business/family trip, this was great for my toddler, instead of having her in the room watching tv."
50,"We were very happy with the Casa Serena. It is one of the smaller hotels in the area, but really has everything you need. The rooms are huge: great for families. Guatemala City gets has a lot of bad rap, but it, actually, has quite a bit to see, and Casa Serena gives you a nice home in town to stay. The immediate neighbourhood is, I guess, as good as it gets in that city: perhaps, not quite charming, but, certainly, comfortable, full of restaurants/shopping and reasonably safe. If traveling with family, I can hardly think of a better place in town. My only (minor) advice would be to improve on the breakfast variety: it is not bad, but somewhat limited (bigger hotels in the area really do much better in my experience). "
40,"Pros: -The hotel's installations are good and well maintained. -The apartments are very spacious and have everything you need for your stay. - It is within walking distance to Oakland mall, shops, and restaurants.   Cons:  - Complementary car service is ""complementary"" depending on who you talk to at the hotel; I talked to 3 different people and they said it was and had always been complementary. However, when the manager (Vidal) he said it was never complementary and that each service (even around the corner) was U$17.    - Food is very expensive. The room service is Four Seasons type of prices.  - Breakfast is only included for 2 people per apartment. - There is no elevator. - Some of the rooms have windows at the bathroom where people from the next building can easily se you."
50,"I stayed here for 6 weeks, in Guatemala for work. The apartments were well equipped and the grounds were very pleasant & relaxing.  Unfortunately I only got to use the spa pool / Jacuzzi once. Excellent choice for breakfast every morning, from healthy fruit & muesli etc, to eggs & more traditional central American beans, plantains etc. Staff were incredibly friendly and welcoming. The only disadvantage was the noise from rather loud places nearby, so I would suggest a room at the back."
30,"Let me speak straight: this is an average hotel. It is clean, reasonably safe, and provide basic amenities like free wifi in the room (a little bit slow, by the way), hair dryer, and so. Don't expect a safe box in the room, or a mini bar. But it is quiet, although its location in a main avenue. And the airport is less than twenty minutes away by car. However, the room rate is too high. For the same price you can find better hotels in Guatemala zona 10."
30,"Not out first choice, but it is next to the airport. We arrived and were met with a heavily armed security guard, welcome to Guatemala... At the welcome desk there was no one around, so we had to ask the security guard to call a receptionist. An employee eventually appeared, very disheveled....   On to the rooms. Not bad but not great."
50,Stayed here a few days great location friendly staff. Food was very good.  Would definitely stay again.  Decent area of town from what we were told.  Not far away from business district.  Couple nice markets close by as well. 
40,"GUATEMALA CITY HOWARD JOHNSON HOTEL – Feb. 2017 4-stars We stayed at this hotel for one night because it was near Hedman Alas’ bus terminal, which we had to be at early in the morning. Knowing we could easily arrange taxi service from the hotel to the bus station was a plus for us. This is a typical American hotel. The room was spacious, the bathroom nice, and the beds comfortable. There is an elevator for taking luggage to the upper floors and seemed to be 24-hour front desk service. My only complaint relates to an email we sent asking that no cleaning products be used the day of our arrival due to my wife’s chemical sensitivity. We did not get a response and the request was not attended to. Fortunately, the room “fragrance” was manageable for my wife."
40,"I picked The Howard Johnson Inn Guatemala City for the fact of its being within walking distance of the Museo Popol Vuh and Museo Ixchel de Traje Indigena.  (They're about a 20 minute walk.)  It wasn't a bad place to be for exploring the Zona 1 as the TransMetro takes you there in about 20 minutes.  Really I have no serious complaints; it's a pleasant enough business hotel. My only reason for not ranking higher:  The fitness area is pretty small and the restaurant staff seemed sometimes overwhelmed by the number of customers, resulting in slow service on occasion.  By & large, I was happy with my choice to stay here."
50,"Gilda is EXTREMELY accommodating.  I used Casa de Familia as a base camp for getting to language school in Xela and on the back end of my trip for traveling around the eastern part of the county. She provided all of my ground transportation, delicious meals, and stored my luggage when I took a week-long backpack excursion. One of my favorite parts of my stay was sitting with her and her beautiful family to enjoy movie night, complete with popcorn.  I would absolutely stay here again."
50,"My fiance and I stayed with Gilda, the owner of Casa de Familia, for (5) days before we began our work at the American School of Guatemala.  Gilda was recommended by a family friend who also had a wonderful experience.  From the very beginning we were treated like family.  Gilda made a Skype appointment with us to find out a little about ourselves and to see if we needed any special accommodations.  The day we landed Gilda greeted us at the airport and drove us back to her B&B.  Once we arrived she showed us to our room which was exactly what we were looking for.  It was a good size, private bathroom, with cable and wifi.  Our introduction to Guatemala was perfect thanks to Gilda.  Over the next (5) days Gilda drove us around Guatemala City, took us to museums and even arranged"
